time,total_V,total_U,total_D,thermometer,indicator,kappa,gini_coefficient,circulation_rate
690,14844450.57098198,3049491.6400940586,17984519.99483163,1.2115315355617051,0.21153153556170512,0.1,0.49463149928383054,0.2054297412701298
691,14845669.737416405,3046535.0954734823,17984065.94973435,1.211401456978937,0.21140145697893709,0.1,0.4949670701703295,0.20521371883917924
692,14848090.293430533,3042246.0562847783,17984745.420258854,1.2112497341301944,0.21124973413019443,0.1,0.49526191644553874,0.20489140328240094
693,14851657.25010726,3036936.09132379,17986757.103213258,1.2110942772452788,0.21109427724527885,0.1,0.49664979311029445,0.2044846605453312
694,14854490.74184243,3032394.906806886,17988032.033310644,1.2109490891290935,0.2109490891290935,0.1,0.49554056794599943,0.20413994390700818
695,14847966.579815174,3028399.2012605295,17989785.26040639,1.2115992559454107,0.21159925594541074,0.1,0.4960943321874627,0.20396053459451058
696,14846765.706890304,3023732.4944148916,17991862.10641654,1.2118371409381514,0.21183714093815142,0.1,0.4958205416413246,0.2036627070239004
697,14838130.118418666,3020573.801452464,17992600.99695305,1.2125922102960076,0.2125922102960076,0.1,0.4958441702287113,0.20356835917640367
698,14841247.283984117,3015809.5105032665,17994235.09848031,1.2124476301866305,0.2124476301866305,0.1,0.4944488797793747,0.20320458602948874
699,14843429.395444324,3012144.236584596,17995048.895453643,1.2123242153849298,0.21232421538492985,0.1,0.4948549430049518,0.20292778416213367
700,14846218.08876344,3186162.1746670473,17681249.126427736,1.1909598135170887,0.19095981351708868,0.1,0.4895884204968197,0.21461103128200287
701,14847458.535433587,3182905.8548224447,17680538.98659028,1.1908124844663162,0.19081248446631616,0.1,0.48934767858545136,0.21437378304350288
702,14850034.299113283,3178418.860374705,17681339.08601139,1.190659814642123,0.190659814642123,0.1,0.48897023319441013,0.21403444573622923
703,14851814.464142455,3174793.4216448525,17681367.67023615,1.1905190246569024,0.1905190246569024,0.1,0.4890454711765815,0.21376468372332078
704,14854769.140429182,3169661.97512165,17682301.085564654,1.190345061468507,0.19034506146850694,0.1,0.48708915676732145,0.21337672401080968
705,14858052.81691409,3164615.7210607226,17683995.009551693,1.190195998591458,0.19019599859145808,0.1,0.48663772261702354,0.21298993616836465
706,14859722.262236934,3160886.0160841728,17683692.06076414,1.190041896388856,0.19004189638885594,0.1,0.4876193782588245,0.21271501312759686
707,14861990.851975506,3156663.003232743,17684125.626849778,1.189889416766741,0.1898894167667411,0.1,0.48738336493025947,0.21239839498442087
708,14857493.592943393,3152515.2275647637,17685468.870819252,1.1903399964593633,0.19033999645936328,0.1,0.4881967391559039,0.2121835158698678
709,14858717.758658092,3149380.771354215,17684847.175812557,1.1902000874542282,0.19020008745422823,0.1,0.48873394082864907,0.21195508404613772
710,14859815.624098275,3146441.27817383,17684161.19590413,1.1900659902687885,0.19006599026878845,0.1,0.48879505593285466,0.2117416095709305
711,14862577.51329596,3141499.88994602,17684888.94866104,1.1898938076413905,0.18989380764139052,0.1,0.488819343630152,0.2113697901414244
712,14863493.813263405,3138390.2906953488,17683660.175659336,1.1897377829080376,0.18973778290803756,0.1,0.48936921628642716,0.2111475491647067
713,14866104.038308052,3133947.3833305314,17684575.098649323,1.1895904302215585,0.18959043022155853,0.1,0.49028184957243415,0.2108116138064653
714,14867661.246156236,3130706.1229073713,17684530.212230325,1.1894628159356495,0.1894628159356495,0.1,0.49012243630775276,0.2105715264205901
715,14870018.04547223,3126420.5925239855,17685082.322548185,1.1893114230572917,0.18931142305729165,0.1,0.4903879137832581,0.21024995282207803
716,14871112.331332574,3123434.951581365,17684342.847318903,1.1891741823548072,0.1891741823548072,0.1,0.4908760424029046,0.21003371381981079
717,14873661.780403407,3118930.0937408195,17685071.069150068,1.1890193101238051,0.18901931012380513,0.1,0.4905223132798442,0.20969483774668884
718,14876090.529517597,3114527.603608728,17685653.906147104,1.1888643639976972,0.18886436399769724,0.1,0.49065309256051504,0.20936465783323827
719,14876539.494836938,3112041.218857846,17684089.081788555,1.188723297372081,0.18872329737208093,0.1,0.49027052758884593,0.20919120471114358
720,14879527.01831259,3107252.848008227,17685432.99596791,1.188574944230554,0.188574944230554,0.1,0.4910395903948739,0.20882739378637888
721,14881305.23958065,3103807.4582904484,17685637.639379304,1.1884466688002482,0.18844666880024818,0.1,0.4911451357027101,0.2085709155427493
722,14882649.101757118,3100571.583737005,17685160.218767036,1.188307276335571,0.1883072763355711,0.1,0.4910974622905324,0.20833465618502933
723,14884749.045270555,3096764.8437393024,17685663.889139023,1.1881734677118003,0.18817346771180032,0.1,0.4912046261061831,0.20804951661064525
724,14886469.762917299,3093153.422365495,17685584.467145372,1.188030792310529,0.1880307923105291,0.1,0.4912519819005239,0.2077828707294086
725,14888657.255464144,3089091.1755400617,17686012.336600307,1.1878849807029799,0.18788498070297988,0.1,0.4914248758637174,0.20747950083990038
726,14882861.663706802,3086289.1252278048,17686331.2536879,1.1883689879895618,0.1883689879895618,0.1,0.49181962130851486,0.20737202259656815
727,14885026.503117356,3082301.5196556263,17686787.265853174,1.1882267903351766,0.18822679033517664,0.1,0.4916946547435237,0.207073969200532
728,14875135.36122216,3079968.9165341146,17686651.13832978,1.189007744053001,0.18900774405300091,0.1,0.49172189704714087,0.20705484970330115
729,14868636.563696705,3076303.504229777,17687570.04723689,1.1895892384929831,0.18958923849298315,0.1,0.4915715420170166,0.20689882969773343
730,14871123.143242026,3071943.4496997893,17688314.024405196,1.1894403572633587,0.18944035726335873,0.1,0.4923469682075672,0.20657104511274194
731,14862021.651991023,3068815.5524697695,17688553.47770582,1.190184881431399,0.1901848814313991,0.1,0.4919717507433272,0.2064870866379507
732,14864731.181538656,3064087.072167176,17689386.663316786,1.1900239867967628,0.1900239867967628,0.1,0.4911867254848079,0.20613134773487443
733,14868004.812283803,3058842.839686196,17690861.988681108,1.1898611960405803,0.18986119604058027,0.1,0.4910593219821491,0.20573324251005146
734,14860317.3588689,3056435.3635050016,17690240.481931426,1.1904349049028604,0.1904349049028604,0.1,0.4904692727962159,0.20567766419072248
735,14861530.02010365,3053326.4601161,17689620.72528753,1.1902960665125486,0.1902960665125486,0.1,0.49139525812582896,0.20545169010093653
736,14862652.805445693,3050431.136799366,17689030.066620257,1.190166405565161,0.19016640556516107,0.1,0.49130890926036996,0.20524136415819957
737,14865675.050497567,3045548.4801776656,17690350.96563135,1.190013296102503,0.19001329610250295,0.1,0.48971731382715133,0.20487118612724745
738,14868083.891882848,3041220.760652088,17690967.71000188,1.1898619780898714,0.18986197808987137,0.1,0.48914455852946204,0.20454691961433083
739,14869870.049404316,3037692.3724319814,17691105.64511531,1.189728328918652,0.189728328918652,0.1,0.48938077421171533,0.20428506519151932
740,14873757.516828172,3031595.558676852,17692988.369756516,1.1895439568473982,0.18954395684739822,0.1,0.48707356983938976,0.2038217683222887
741,14875457.637440832,3027965.858558722,17692848.390895955,1.1893985934499172,0.18939859344991716,0.1,0.486998500198335,0.20355446752357206
742,14877656.977534562,3023899.0861435626,17693296.053410027,1.189252856153836,0.18925285615383602,0.1,0.48640943671645154,0.2032510287547082
743,14879590.532001292,3019897.4205313185,17693263.262755804,1.189096112873751,0.18909611287375094,0.1,0.48710740465617497,0.20295568040239242
744,14880810.434861891,3016775.8483787454,17692645.70173814,1.1889571323540853,0.1889571323540853,0.1,0.4858737045243793,0.20272927080041417
745,14876965.308239158,3012669.53319841,17693464.961486783,1.189319501315755,0.18931950131575492,0.1,0.4859418145485932,0.20250565023028816
746,14872090.48495111,3010103.1791317454,17693454.23039193,1.1897086188586417,0.18970861885864165,0.1,0.4856884474108285,0.20239946644875734
747,14874822.171209468,3005298.6761953016,17694256.872933164,1.1895440946635834,0.18954409466358335,0.1,0.48593293914944,0.20203930114957075
748,14877222.568038648,3000894.1450268524,17694779.472098295,1.189387292633016,0.189387292633016,0.1,0.48560043387929097,0.20171064399303923
749,14868142.243565302,2998199.4968131515,17695054.634833723,1.1901321863188297,0.19013218631882967,0.1,0.4850709598197207,0.2016525970560125
750,14870154.343074454,3173199.1860749885,17695537.35844299,1.1900036106003442,0.1900036106003442,0.1,0.4798292631904799,0.21339382987324926
751,14873430.081361968,3167934.5706531573,17696996.626874473,1.1898396355155991,0.18983963551559913,0.1,0.4804485980030688,0.21299287073147471
752,14876432.070206413,3162910.042376958,17698134.07570003,1.1896759916744248,0.18967599167442484,0.1,0.4800761468550121,0.21261213894905864
753,14868956.185637245,3158699.906140621,17699754.906992465,1.190383150371352,0.190383150371352,0.1,0.4796706896970282,0.21243588767796528
754,14871028.13319594,3154467.7696179724,17699775.71545872,1.190218696173958,0.19021869617395804,0.1,0.4802960887615906,0.21212170008450143
755,14873726.729839016,3149902.973068295,17700750.143597458,1.1900682636643438,0.19006826366434382,0.1,0.48123635139869503,0.21177631069078998
756,14874465.006840216,3147137.617737383,17699500.19895322,1.1899251630773862,0.18992516307738616,0.1,0.4810956816584946,0.21157988648937162
757,14871980.535347981,3141028.52093886,17702719.188347302,1.190340395233249,0.19034039523324897,0.1,0.4805059466609338,0.21120445346692115
758,14871980.535347981,3139293.164870268,17700983.83227871,1.1902237089543457,0.1902237089543457,0.1,0.48045679876195657,0.2110877671880179
759,14864043.897615436,3135447.7534961454,17702038.22746075,1.1909301633790652,0.1909301633790652,0.1,0.4807499254261407,0.21094177163989333
760,14864854.785707185,3132966.5029222863,17701221.431391004,1.1908102491799002,0.1908102491799002,0.1,0.4803880880551761,0.21076334401427774
761,14832457.041470688,3133595.7879896704,17700145.793542035,1.1933387532526443,0.19333875325264427,0.1,0.4791832477595668,0.21126612935593334
762,14820891.95095584,3131895.1839321884,17699370.195697203,1.194217612156313,0.19421761215631306,0.1,0.47959154964189343,0.21131624157952275
763,14803209.547074731,3130267.4739656984,17699012.83874852,1.1956199621754342,0.1956199621754342,0.1,0.47898243924868233,0.21145870184511925
764,14805691.69993884,3125813.8877786137,17699654.197914075,1.1954628366324276,0.19546283663242758,0.1,0.4796217370505522,0.2111224487939004
765,14807630.730247285,3121959.851175831,17699780.276154947,1.195314807520147,0.19531480752014696,0.1,0.4793499132768093,0.21083452903769803
766,14810339.563561274,3117221.7050219392,17700602.36680345,1.1951516905360666,0.19515169053606662,0.1,0.4795621169725206,0.21047604557909114
767,14811483.3081931,3114282.023890339,17700010.37202139,1.1950194321341518,0.19501943213415185,0.1,0.47945066266221104,0.210261319483623
768,14801852.652149512,3110894.760409083,17701025.518511556,1.195865540246479,0.19586554024647906,0.1,0.47891508556549023,0.21016928309695895
769,14803331.609385818,3107623.7981679593,17700790.310597587,1.1957301759946175,0.1957301759946175,0.1,0.47927246473580576,0.2099273244813093
770,14806140.768253995,3102911.214588001,17701843.895220727,1.1955744695589712,0.19557446955897118,0.1,0.4794504111880096,0.20956920936757445
771,14808092.729938323,3098912.805160127,17701852.143987004,1.1954174292951456,0.1954174292951456,0.1,0.47891327279917517,0.20927156938279345
772,14809448.682063803,3095659.679295856,17701382.288275033,1.1952762502032734,0.19527625020327344,0.1,0.48033300217773856,0.2090327429302016
773,14811038.163726171,3092212.829938215,17701198.05917173,1.195135537664326,0.195135537664326,0.1,0.48042704846711204,0.20877758842802643
774,14803797.046062034,3091013.3952443874,17699274.512711488,1.1955901893034722,0.19559018930347216,0.1,0.47970980021091747,0.2087986876357934
775,14806827.540030122,3086366.9237324353,17700848.528818242,1.1954517928276103,0.19545179282761027,0.1,0.47981901170091157,0.20844214706955091
776,14807871.253712332,3083811.1299697952,17700435.094719082,1.1953396130643414,0.19533961306434144,0.1,0.4792188484217923,0.20825485832048168
777,14809091.315866197,3080605.682148809,17699733.985003397,1.1951937905899883,0.19519379058998831,0.1,0.4791173960348787,0.20802124967980332
778,14811713.981315086,3076064.578979285,17700576.247755278,1.195039025874013,0.1950390258740129,0.1,0.47900320689121445,0.20767782735068524
779,14816030.16624963,3069985.826619264,17703357.032892473,1.1948785763962648,0.19487857639626482,0.1,0.4785854297051009,0.2072070448137031
780,14815556.80146734,3065803.9653163175,17704525.880475305,1.1949956466517573,0.19499564665175728,0.1,0.4786715695054631,0.2069314036859336
781,14809353.330740634,3062395.514567462,17705253.875915084,1.1955453746358566,0.19554537463585664,0.1,0.4786735900251926,0.20678792963975473
782,14806164.033262935,3058172.3502682457,17706794.861309245,1.1959069764140036,0.19590697641400356,0.1,0.47956759633298973,0.20654724231055918
783,14808195.436651504,3054530.5753641846,17707322.80915014,1.1957785730814343,0.19577857308143432,0.1,0.47877600499776984,0.2062729782593205
784,14811394.095755102,3049272.4308657767,17708630.333338067,1.1956086117790428,0.19560861177904276,0.1,0.4781255862007905,0.2058734249559728
785,14807801.037266573,3045260.9621280907,17709308.029644363,1.1959444879814098,0.19594448798140984,0.1,0.47815810607526,0.20565247699264244
786,14811817.583849072,3039322.6448428473,17711614.20271267,1.1957758797965186,0.19577587979651856,0.1,0.47758826968567103,0.2051957923217303
787,14803633.154751893,3036300.7312871404,17712545.351726923,1.1964998839518854,0.19649988395188545,0.1,0.47665600578255907,0.2051051049122021
788,14799771.131747456,3032333.9809907693,17713862.978344,1.1969011426362828,0.19690114263628278,0.1,0.4767393807427611,0.2048905995908284
789,14799771.131747456,3030551.3235774846,17712080.320930716,1.1967806909483871,0.19678069094838713,0.1,0.47574055463310594,0.204770147902933
790,14800919.662061293,3027487.10787527,17711373.614820063,1.196640075023111,0.19664007502311098,0.1,0.4756099489365013,0.20454722929383418
791,14802161.618354848,3024406.2544069225,17710842.040059537,1.1965037605114304,0.19650376051143037,0.1,0.4763383558258121,0.20432193164656604
